alpha s value
1 1 5.72341e-80
1 2 1.21674e-174
1 3 0.871148
1 4 5.06579e-13
1 5 4.82487e-17
1 6 7.98844e-16
1 7 1.11548e-07
2 1 1.76652e-80
2 2 1.33629e-175
2 3 0.343103
2 4 1.42002e-13
2 5 1.16988e-17
2 6 2.03071e-16
2 7 3.64431e-08
3 1 8.4162e-81
3 2 2.18945e-176
3 3 0.215971
3 4 6.10662e-14
3 5 4.32136e-18
3 6 7.87986e-17
3 7 1.8477e-08
4 1 4.50825e-81
4 2 3.95684e-177
4 3 0.155964
4 4 2.94446e-14
4 5 1.78391e-18
4 6 3.42029e-17
4 7 1.05636e-08
5 1 2.55004e-81
5 2 7.44904e-178
5 3 0.120517
5 4 1.49709e-14
5 5 7.75094e-19
5 6 1.56337e-17
5 7 6.38946e-09
6 1 1.48783e-81
6 2 1.4306e-178
6 3 0.0969647
6 4 7.84568e-15
6 5 3.46701e-19
6 6 7.35915e-18
6 7 3.99204e-09
7 1 8.85363e-82
7 2 2.77511e-179
7 3 0.0801307
7 4 4.19184e-15
7 5 1.5797e-19
7 6 3.52951e-18
7 7 2.54668e-09
8 1 5.33971e-82
8 2 5.40743e-180
8 3 0.0674851
8 4 2.26947e-15
8 5 7.28881e-20
8 6 1.71453e-18
8 7 1.64814e-09
9 1 3.25136e-82
9 2 1.05484e-180
9 3 0.0576384
9 4 1.24044e-15
9 5 3.39344e-20
9 6 8.40509e-19
9 7 1.07779e-09
