X Z
-15 1.54102e-31
-14.97 3.85167e-32
-14.9401 4.21655e-32
-14.9101 1.50614e-31
-14.8801 6.46773e-32
-14.8501 1.7558e-32
-14.8202 1.42809e-31
-14.7902 9.53737e-32
-14.7602 4.12599e-33
-14.7303 1.48285e-31
-14.7003 1.6368e-31
-14.6703 7.44659e-33
-14.6404 1.40326e-31
-14.6104 2.89418e-31
-14.5804 8.64632e-32
-14.5504 6.96757e-32
-14.5205 3.53268e-31
-14.4905 2.79485e-31
-14.4605 3.70989e-32
-14.4306 2.10633e-31
-14.4006 3.70446e-31
-14.3706 1.39856e-31
-14.3407 3.34774e-32
-14.3107 1.87993e-31
-14.2807 1.74341e-31
-14.2507 2.9631e-32
-14.2208 5.94718e-33
-14.1908 3.93929e-32
-14.1608 7.48795e-32
-14.1309 9.48122e-32
-14.1009 4.32554e-32
-14.0709 8.81141e-32
-14.041 2.96972e-31
-14.011 3.60818e-31
-13.981 2.74095e-31
-13.951 4.12662e-31
-13.9211 6.62964e-31
-13.8911 6.30468e-31
-13.8611 5.15606e-31
-13.8312 6.48946e-31
-13.8012 7.58272e-31
-13.7712 5.99973e-31
-13.7413 4.72441e-31
-13.7113 5.2912e-31
-13.6813 4.98203e-31
-13.6513 3.24489e-31
-13.6214 2.46418e-31
-13.5914 2.64895e-31
-13.5614 2.0736e-31
-13.5315 1.15751e-31
-13.5015 1.07689e-31
-13.4715 1.26689e-31
-13.4416 9.50142e-32
-13.4116 5.65552e-32
-13.3816 6.14409e-32
-13.3516 9.31322e-32
-13.3217 1.17397e-31
-13.2917 1.29379e-31
-13.2617 1.84401e-31
-13.2318 3.33549e-31
-13.2018 5.10937e-31
-13.1718 6.38753e-31
-13.1419 7.85348e-31
-13.1119 9.84927e-31
-13.0819 1.07484e-30
-13.0519 9.82726e-31
-13.022 8.95996e-31
-12.992 9.30199e-31
-12.962 9.83087e-31
-12.9321 9.96361e-31
-12.9021 9.78671e-31
-12.8721 8.35878e-31
-12.8422 5.2186e-31
-12.8122 2.19027e-31
-12.7822 1.53863e-31
-12.7522 3.71524e-31
-12.7223 7.35135e-31
-12.6923 1.00166e-30
-12.6623 9.41142e-31
-12.6324 5.40517e-31
-12.6024 1.23085e-31
-12.5724 2.17813e-31
-12.5425 1.19661e-30
-12.5125 2.85625e-30
-12.4825 4.34188e-30
-12.4525 4.74212e-30
-12.4226 4.01794e-30
-12.3926 3.41727e-30
-12.3626 4.85061e-30
-12.3327 9.51769e-30
-12.3027 1.68756e-29
-12.2727 2.50792e-29
-12.2428 3.27311e-29
-12.2128 4.04574e-29
-12.1828 5.11548e-29
-12.1528 6.90473e-29
-12.1229 9.82541e-29
-12.0929 1.41381e-28
-12.0629 1.98899e-28
-12.033 2.70812e-28
-12.003 3.61476e-28
-11.973 4.8509e-28
-11.9431 6.66078e-28
-11.9131 9.30854e-28
-11.8831 1.29682e-27
-11.8531 1.7726e-27
-11.8232 2.37856e-27
-11.7932 3.17745e-27
-11.7632 4.28907e-27
-11.7333 5.87104e-27
-11.7033 8.08257e-27
-11.6733 1.10792e-26
-11.6434 1.50725e-26
-11.6134 2.0425e-26
-11.5834 2.76982e-26
-11.5534 3.76054e-26
-11.5235 5.09444e-26
-11.4935 6.86741e-26
-11.4635 9.22166e-26
-11.4336 1.23845e-25
-11.4036 1.66888e-25
-11.3736 2.25643e-25
-11.3437 3.05256e-25
-11.3137 4.12044e-25
-11.2837 5.54502e-25
-11.2537 7.44769e-25
-11.2238 9.99964e-25
-11.1938 1.343e-24
-11.1638 1.80319e-24
-11.1339 2.41785e-24
-11.1039 3.236e-24
-11.0739 4.32447e-24
-11.044 5.77473e-24
-11.014 7.70909e-24
-10.984 1.0287e-23
-10.954 1.37155e-23
-10.9241 1.82684e-23
-10.8941 2.43123e-23
-10.8641 3.23385e-23
-10.8342 4.29962e-23
-10.8042 5.71364e-23
-10.7742 7.58757e-23
-10.7443 1.00685e-22
-10.7143 1.33503e-22
-10.6843 1.76876e-22
-10.6543 2.34134e-22
-10.6244 3.09638e-22
-10.5944 4.09098e-22
-10.5644 5.40005e-22
-10.5345 7.12172e-22
-10.5045 9.38429e-22
-10.4745 1.23553e-21
-10.4446 1.62531e-21
-10.4146 2.13631e-21
-10.3846 2.80576e-21
-10.3546 3.68237e-21
-10.3247 4.82962e-21
-10.2947 6.33014e-21
-10.2647 8.29134e-21
-10.2348 1.08527e-20
-10.2048 1.41953e-20
-10.1748 1.85541e-20
-10.1449 2.42334e-20
-10.1149 3.16264e-20
-10.0849 4.1241e-20
-10.0549 5.3733e-20
-10.025 6.99485e-20
-9.995 9.0978e-20
-9.96503 1.18226e-19
-9.93506 1.53501e-19
-9.90509 1.99129e-19
-9.87512 2.58102e-19
-9.84515 3.34266e-19
-9.81518 4.32561e-19
-9.78521 5.59328e-19
-9.75524 7.22708e-19
-9.72527 9.33133e-19
-9.6953 1.20397e-18
-9.66533 1.55231e-18
-9.63536 2.00002e-18
-9.60539 2.57502e-18
-9.57542 3.31291e-18
-9.54545 4.25908e-18
-9.51548 5.4713e-18
-9.48551 7.02302e-18
-9.45554 9.00759e-18
-9.42557 1.15435e-17
-9.3956 1.47809e-17
-9.36563 1.89103e-17
-9.33566 2.41728e-17
-9.30569 3.08735e-17
-9.27572 3.93984e-17
-9.24575 5.02354e-17
-9.21578 6.40006e-17
-9.18581 8.14722e-17
-9.15584 1.03631e-16
-9.12587 1.31716e-16
-9.0959 1.67285e-16
-9.06593 2.12301e-16
-9.03596 2.69232e-16
-9.00599 3.4118e-16
-8.97602 4.32039e-16
-8.94605 5.46694e-16
-8.91608 6.91266e-16
-8.88611 8.73413e-16
-8.85614 1.10272e-15
-8.82617 1.39115e-15
-8.7962 1.75363e-15
-8.76623 2.2088e-15
-8.73626 2.77986e-15
-8.70629 3.49568e-15
-8.67632 4.39219e-15
-8.64635 5.51401e-15
-8.61638 6.9166e-15
-8.58641 8.66875e-15
-8.55644 1.08558e-14
-8.52647 1.35835e-14
-8.4965 1.69827e-14
-8.46653 2.12157e-14
-8.43656 2.64829e-14
-8.40659 3.30321e-14
-8.37662 4.11694e-14
-8.34665 5.12724e-14
-8.31668 6.38068e-14
-8.28671 7.93463e-14
-8.25674 9.85971e-14
-8.22677 1.22428e-13
-8.1968 1.51905e-13
-8.16683 1.88338e-13
-8.13686 2.33334e-13
-8.10689 2.88858e-13
-8.07692 3.57319e-13
-8.04695 4.41661e-13
-8.01698 5.45478e-13
-7.98701 6.7316e-13
-7.95704 8.30057e-13
-7.92707 1.02269e-12
-7.8971 1.25899e-12
-7.86713 1.54861e-12
-7.83716 1.90328e-12
-7.80719 2.33724e-12
-7.77722 2.86779e-12
-7.74725 3.51589e-12
-7.71728 4.30694e-12
-7.68731 5.27171e-12
-7.65734 6.44744e-12
-7.62737 7.87914e-12
-7.5974 9.62121e-12
-7.56743 1.17393e-11
-7.53746 1.43128e-11
-7.50749 1.74371e-11
-7.47752 2.12274e-11
-7.44755 2.58221e-11
-7.41758 3.13878e-11
-7.38761 3.81246e-11
-7.35764 4.62727e-11
-7.32767 5.612e-11
-7.2977 6.80116e-11
-7.26773 8.23604e-11
-7.23776 9.966e-11
-7.20779 1.205e-10
-7.17782 1.45585e-10
-7.14785 1.75754e-10
-7.11788 2.12006e-10
-7.08791 2.55531e-10
-7.05794 3.07743e-10
-7.02797 3.70322e-10
-6.998 4.45263e-10
-6.96803 5.34932e-10
-6.93806 6.42131e-10
-6.90809 7.70179e-10
-6.87812 9.23004e-10
-6.84815 1.10525e-09
-6.81818 1.3224e-09
-6.78821 1.58093e-09
-6.75824 1.88848e-09
-6.72827 2.25406e-09
-6.6983 2.68829e-09
-6.66833 3.20365e-09
-6.63836 3.81483e-09
-6.60839 4.53912e-09
-6.57842 5.39679e-09
-6.54845 6.41165e-09
-6.51848 7.61162e-09
-6.48851 9.02941e-09
-6.45854 1.07033e-08
-6.42857 1.2678e-08
-6.3986 1.50059e-08
-6.36863 1.77481e-08
-6.33866 2.09756e-08
-6.30869 2.47715e-08
-6.27872 2.92323e-08
-6.24875 3.44702e-08
-6.21878 4.06154e-08
-6.18881 4.78192e-08
-6.15884 5.62566e-08
-6.12887 6.61306e-08
-6.0989 7.76754e-08
-6.06893 9.11621e-08
-6.03896 1.06903e-07
-6.00899 1.25259e-07
-5.97902 1.46645e-07
-5.94905 1.71537e-07
-5.91908 2.00486e-07
-5.88911 2.34122e-07
-5.85914 2.73167e-07
-5.82917 3.18452e-07
-5.7992 3.70926e-07
-5.76923 4.31675e-07
-5.73926 5.01945e-07
-5.70929 5.83156e-07
-5.67932 6.76931e-07
-5.64935 7.85123e-07
-5.61938 9.09845e-07
-5.58941 1.05351e-06
-5.55944 1.21885e-06
-5.52947 1.409e-06
-5.4995 1.62751e-06
-5.46953 1.87843e-06
-5.43956 2.16634e-06
-5.40959 2.49647e-06
-5.37962 2.87473e-06
-5.34965 3.30784e-06
-5.31968 3.80343e-06
-5.28971 4.3701e-06
-5.25974 5.01764e-06
-5.22977 5.75708e-06
-5.1998 6.60093e-06
-5.16983 7.56328e-06
-5.13986 8.66006e-06
-5.10989 9.90923e-06
-5.07992 1.1331e-05
-5.04995 1.29482e-05
-5.01998 1.47864e-05
-4.99001 1.68743e-05
-4.96004 1.92443e-05
-4.93007 2.19326e-05
-4.9001 2.49797e-05
-4.87013 2.84309e-05
-4.84016 3.23369e-05
-4.81019 3.67542e-05
-4.78022 4.17459e-05
-4.75025 4.7382e-05
-4.72028 5.37406e-05
-4.69031 6.09081e-05
-4.66034 6.89806e-05
-4.63037 7.80642e-05
-4.6004 8.82766e-05
-4.57043 9.97473e-05
-4.54046 0.00011262
-4.51049 0.000127051
-4.48052 0.000143214
-4.45055 0.000161299
-4.42058 0.000181515
-4.39061 0.00020409
-4.36064 0.000229272
-4.33067 0.000257335
-4.3007 0.000288575
-4.27073 0.000323314
-4.24076 0.000361904
-4.21079 0.000404724
-4.18082 0.000452189
-4.15085 0.000504743
-4.12088 0.000562869
-4.09091 0.000627087
-4.06094 0.000697957
-4.03097 0.000776082
-4.001 0.000862109
-3.97103 0.000956733
-3.94106 0.0010607
-3.91109 0.0011748
-3.88112 0.00129989
-3.85115 0.00143687
-3.82118 0.00158671
-3.79121 0.00175043
-3.76124 0.00192914
-3.73127 0.00212399
-3.7013 0.00233621
-3.67133 0.0025671
-3.64136 0.00281803
-3.61139 0.00309046
-3.58142 0.00338593
-3.55145 0.00370604
-3.52148 0.00405251
-3.49151 0.0044271
-3.46154 0.00483171
-3.43157 0.00526831
-3.4016 0.00573895
-3.37163 0.0062458
-3.34166 0.00679111
-3.31169 0.00737727
-3.28172 0.00800672
-3.25175 0.00868204
-3.22178 0.00940593
-3.19181 0.0101812
-3.16184 0.0110106
-3.13187 0.0118974
-3.1019 0.0128446
-3.07193 0.0138555
-3.04196 0.0149334
-3.01199 0.0160818
-2.98202 0.0173045
-2.95205 0.0186051
-2.92208 0.0199876
-2.89211 0.0214559
-2.86214 0.0230143
-2.83217 0.0246669
-2.8022 0.0264183
-2.77223 0.028273
-2.74226 0.0302357
-2.71229 0.0323113
-2.68232 0.0345047
-2.65235 0.0368213
-2.62238 0.0392661
-2.59241 0.0418448
-2.56244 0.044563
-2.53247 0.0474264
-2.5025 0.0504409
-2.47253 0.0536127
-2.44256 0.0569481
-2.41259 0.0604536
-2.38262 0.0641356
-2.35265 0.0680012
-2.32268 0.0720571
-2.29271 0.0763107
-2.26274 0.0807693
-2.23277 0.0854403
-2.2028 0.0903316
-2.17283 0.0954511
-2.14286 0.100807
-2.11289 0.106407
-2.08292 0.112261
-2.05295 0.118376
-2.02298 0.124761
-1.99301 0.131427
-1.96304 0.138381
-1.93307 0.145633
-1.9031 0.153193
-1.87313 0.161071
-1.84316 0.169275
-1.81319 0.177816
-1.78322 0.186703
-1.75325 0.195947
-1.72328 0.205557
-1.69331 0.215542
-1.66334 0.225913
-1.63337 0.236679
-1.6034 0.247848
-1.57343 0.25943
-1.54346 0.271432
-1.51349 0.283863
-1.48352 0.296729
-1.45355 0.310037
-1.42358 0.323793
-1.39361 0.337999
-1.36364 0.352661
-1.33367 0.36778
-1.3037 0.383356
-1.27373 0.399388
-1.24376 0.415874
-1.21379 0.432807
-1.18382 0.450182
-1.15385 0.467989
-1.12388 0.486216
-1.09391 0.504848
-1.06394 0.523868
-1.03397 0.543255
-1.004 0.562985
-0.974026 0.583033
-0.944056 0.603367
-0.914086 0.623954
-0.884116 0.644756
-0.854146 0.665732
-0.824176 0.686838
-0.794206 0.708026
-0.764236 0.729245
-0.734266 0.750439
-0.704296 0.77155
-0.674326 0.792518
-0.644356 0.813279
-0.614386 0.833766
-0.584416 0.853911
-0.554446 0.873643
-0.524476 0.892893
-0.494505 0.911587
-0.464535 0.929653
-0.434565 0.947018
-0.404595 0.963612
-0.374625 0.979362
-0.344655 0.994203
-0.314685 1.00807
-0.284715 1.02089
-0.254745 1.03261
-0.224775 1.04318
-0.194805 1.05255
-0.164835 1.06066
-0.134865 1.06749
-0.104895 1.07299
-0.0749251 1.07714
-0.044955 1.07992
-0.014985 1.08131
0.014985 1.08131
0.044955 1.07992
0.0749251 1.07714
0.104895 1.07299
0.134865 1.06749
0.164835 1.06066
0.194805 1.05255
0.224775 1.04318
0.254745 1.03261
0.284715 1.02089
0.314685 1.00807
0.344655 0.994203
0.374625 0.979362
0.404595 0.963612
0.434565 0.947018
0.464535 0.929653
0.494505 0.911587
0.524476 0.892893
0.554446 0.873643
0.584416 0.853911
0.614386 0.833766
0.644356 0.813279
0.674326 0.792518
0.704296 0.77155
0.734266 0.750439
0.764236 0.729245
0.794206 0.708026
0.824176 0.686838
0.854146 0.665732
0.884116 0.644756
0.914086 0.623954
0.944056 0.603367
0.974026 0.583033
1.004 0.562985
1.03397 0.543255
1.06394 0.523868
1.09391 0.504848
1.12388 0.486216
1.15385 0.467989
1.18382 0.450182
1.21379 0.432807
1.24376 0.415874
1.27373 0.399388
1.3037 0.383356
1.33367 0.36778
1.36364 0.352661
1.39361 0.337999
1.42358 0.323793
1.45355 0.310037
1.48352 0.296729
1.51349 0.283863
1.54346 0.271432
1.57343 0.25943
1.6034 0.247848
1.63337 0.236679
1.66334 0.225913
1.69331 0.215542
1.72328 0.205557
1.75325 0.195947
1.78322 0.186703
1.81319 0.177816
1.84316 0.169275
1.87313 0.161071
1.9031 0.153193
1.93307 0.145633
1.96304 0.138381
1.99301 0.131427
2.02298 0.124761
2.05295 0.118376
2.08292 0.112261
2.11289 0.106407
2.14286 0.100807
2.17283 0.0954511
2.2028 0.0903316
2.23277 0.0854403
2.26274 0.0807693
2.29271 0.0763107
2.32268 0.0720571
2.35265 0.0680012
2.38262 0.0641356
2.41259 0.0604536
2.44256 0.0569481
2.47253 0.0536127
2.5025 0.0504409
2.53247 0.0474264
2.56244 0.044563
2.59241 0.0418448
2.62238 0.0392661
2.65235 0.0368213
2.68232 0.0345047
2.71229 0.0323113
2.74226 0.0302357
2.77223 0.028273
2.8022 0.0264183
2.83217 0.0246669
2.86214 0.0230143
2.89211 0.0214559
2.92208 0.0199876
2.95205 0.0186051
2.98202 0.0173045
3.01199 0.0160818
3.04196 0.0149334
3.07193 0.0138555
3.1019 0.0128446
3.13187 0.0118974
3.16184 0.0110106
3.19181 0.0101812
3.22178 0.00940593
3.25175 0.00868204
3.28172 0.00800672
3.31169 0.00737727
3.34166 0.00679111
3.37163 0.0062458
3.4016 0.00573895
3.43157 0.00526831
3.46154 0.00483171
3.49151 0.0044271
3.52148 0.00405251
3.55145 0.00370604
3.58142 0.00338593
3.61139 0.00309046
3.64136 0.00281803
3.67133 0.0025671
3.7013 0.00233621
3.73127 0.00212399
3.76124 0.00192914
3.79121 0.00175043
3.82118 0.00158671
3.85115 0.00143687
3.88112 0.00129989
3.91109 0.0011748
3.94106 0.0010607
3.97103 0.000956733
4.001 0.000862109
4.03097 0.000776082
4.06094 0.000697957
4.09091 0.000627087
4.12088 0.000562869
4.15085 0.000504743
4.18082 0.000452189
4.21079 0.000404724
4.24076 0.000361904
4.27073 0.000323314
4.3007 0.000288575
4.33067 0.000257335
4.36064 0.000229272
4.39061 0.00020409
4.42058 0.000181515
4.45055 0.000161299
4.48052 0.000143214
4.51049 0.000127051
4.54046 0.00011262
4.57043 9.97473e-05
4.6004 8.82766e-05
4.63037 7.80642e-05
4.66034 6.89806e-05
4.69031 6.09081e-05
4.72028 5.37406e-05
4.75025 4.7382e-05
4.78022 4.17459e-05
4.81019 3.67542e-05
4.84016 3.23369e-05
4.87013 2.84309e-05
4.9001 2.49797e-05
4.93007 2.19326e-05
4.96004 1.92443e-05
4.99001 1.68743e-05
5.01998 1.47864e-05
5.04995 1.29482e-05
5.07992 1.1331e-05
5.10989 9.90923e-06
5.13986 8.66006e-06
5.16983 7.56328e-06
5.1998 6.60093e-06
5.22977 5.75708e-06
5.25974 5.01764e-06
5.28971 4.3701e-06
5.31968 3.80343e-06
5.34965 3.30784e-06
5.37962 2.87473e-06
5.40959 2.49647e-06
5.43956 2.16634e-06
5.46953 1.87843e-06
5.4995 1.62751e-06
5.52947 1.409e-06
5.55944 1.21885e-06
5.58941 1.05351e-06
5.61938 9.09845e-07
5.64935 7.85123e-07
5.67932 6.76931e-07
5.70929 5.83156e-07
5.73926 5.01945e-07
5.76923 4.31675e-07
5.7992 3.70926e-07
5.82917 3.18452e-07
5.85914 2.73167e-07
5.88911 2.34122e-07
5.91908 2.00486e-07
5.94905 1.71537e-07
5.97902 1.46645e-07
6.00899 1.25259e-07
6.03896 1.06903e-07
6.06893 9.11621e-08
6.0989 7.76754e-08
6.12887 6.61306e-08
6.15884 5.62566e-08
6.18881 4.78192e-08
6.21878 4.06154e-08
6.24875 3.44702e-08
6.27872 2.92323e-08
6.30869 2.47715e-08
6.33866 2.09756e-08
6.36863 1.77481e-08
6.3986 1.50059e-08
6.42857 1.2678e-08
6.45854 1.07033e-08
6.48851 9.02941e-09
6.51848 7.61162e-09
6.54845 6.41165e-09
6.57842 5.39679e-09
6.60839 4.53912e-09
6.63836 3.81483e-09
6.66833 3.20365e-09
6.6983 2.68829e-09
6.72827 2.25406e-09
6.75824 1.88848e-09
6.78821 1.58093e-09
6.81818 1.3224e-09
6.84815 1.10525e-09
6.87812 9.23004e-10
6.90809 7.70179e-10
6.93806 6.42131e-10
6.96803 5.34932e-10
6.998 4.45263e-10
7.02797 3.70322e-10
7.05794 3.07743e-10
7.08791 2.55531e-10
7.11788 2.12006e-10
7.14785 1.75754e-10
7.17782 1.45585e-10
7.20779 1.205e-10
7.23776 9.966e-11
7.26773 8.23604e-11
7.2977 6.80116e-11
7.32767 5.612e-11
7.35764 4.62727e-11
7.38761 3.81246e-11
7.41758 3.13878e-11
7.44755 2.58221e-11
7.47752 2.12274e-11
7.50749 1.74371e-11
7.53746 1.43128e-11
7.56743 1.17393e-11
7.5974 9.62121e-12
7.62737 7.87914e-12
7.65734 6.44744e-12
7.68731 5.27171e-12
7.71728 4.30694e-12
7.74725 3.51589e-12
7.77722 2.86779e-12
7.80719 2.33724e-12
7.83716 1.90328e-12
7.86713 1.54861e-12
7.8971 1.25899e-12
7.92707 1.02269e-12
7.95704 8.30057e-13
7.98701 6.7316e-13
8.01698 5.45478e-13
8.04695 4.41661e-13
8.07692 3.57319e-13
8.10689 2.88858e-13
8.13686 2.33334e-13
8.16683 1.88338e-13
8.1968 1.51905e-13
8.22677 1.22428e-13
8.25674 9.85971e-14
8.28671 7.93463e-14
8.31668 6.38068e-14
8.34665 5.12724e-14
8.37662 4.11694e-14
8.40659 3.30321e-14
8.43656 2.64829e-14
8.46653 2.12157e-14
8.4965 1.69827e-14
8.52647 1.35835e-14
8.55644 1.08558e-14
8.58641 8.66875e-15
8.61638 6.9166e-15
8.64635 5.51401e-15
8.67632 4.39219e-15
8.70629 3.49568e-15
8.73626 2.77986e-15
8.76623 2.2088e-15
8.7962 1.75363e-15
8.82617 1.39115e-15
8.85614 1.10272e-15
8.88611 8.73413e-16
8.91608 6.91266e-16
8.94605 5.46694e-16
8.97602 4.32039e-16
9.00599 3.4118e-16
9.03596 2.69232e-16
9.06593 2.12301e-16
9.0959 1.67285e-16
9.12587 1.31716e-16
9.15584 1.03631e-16
9.18581 8.14722e-17
9.21578 6.40006e-17
9.24575 5.02353e-17
9.27572 3.93984e-17
