X Z
-15 5.15046e-11
-14.97 5.0542e-11
-14.9401 4.77316e-11
-14.9101 4.32989e-11
-14.8801 3.76004e-11
-14.8501 3.10957e-11
-14.8202 2.43115e-11
-14.7902 1.78007e-11
-14.7602 1.20993e-11
-14.7303 7.68518e-12
-14.7003 4.94055e-12
-14.6703 4.12291e-12
-14.6404 5.34527e-12
-14.6104 8.56786e-12
-14.5804 1.36017e-11
-14.5504 2.0124e-11
-14.5205 2.77037e-11
-14.4905 3.58352e-11
-14.4605 4.39789e-11
-14.4306 5.16023e-11
-14.4006 5.82224e-11
-14.3706 6.34426e-11
-14.3407 6.69838e-11
-14.3107 6.87053e-11
-14.2807 6.86154e-11
-14.2507 6.68707e-11
-14.2208 6.37628e-11
-14.1908 5.96957e-11
-14.1608 5.51544e-11
-14.1309 5.06666e-11
-14.1009 4.67626e-11
-14.0709 4.3934e-11
-14.041 4.25971e-11
-14.011 4.30608e-11
-13.981 4.55045e-11
-13.951 4.99652e-11
-13.9211 5.63364e-11
-13.8911 6.43779e-11
-13.8611 7.37354e-11
-13.8312 8.39702e-11
-13.8012 9.45936e-11
-13.7712 1.05106e-10
-13.7413 1.15037e-10
-13.7113 1.2398e-10
-13.6813 1.31628e-10
-13.6513 1.37792e-10
-13.6214 1.42422e-10
-13.5914 1.45604e-10
-13.5614 1.47559e-10
-13.5315 1.48624e-10
-13.5015 1.49225e-10
-13.4715 1.49846e-10
-13.4416 1.50993e-10
-13.4116 1.53157e-10
-13.3816 1.56774e-10
-13.3516 1.622e-10
-13.3217 1.6968e-10
-13.2917 1.79335e-10
-13.2617 1.91156e-10
-13.2318 2.05006e-10
-13.2018 2.20636e-10
-13.1718 2.37707e-10
-13.1419 2.5582e-10
-13.1119 2.74549e-10
-13.0819 2.9348e-10
-13.0519 3.12244e-10
-13.022 3.30549e-10
-12.992 3.48209e-10
-12.962 3.6516e-10
-12.9321 3.8147e-10
-12.9021 3.97339e-10
-12.8721 4.13085e-10
-12.8422 4.29131e-10
-12.8122 4.45975e-10
-12.7822 4.6416e-10
-12.7522 4.84239e-10
-12.7223 5.06741e-10
-12.6923 5.32142e-10
-12.6623 5.60837e-10
-12.6324 5.93122e-10
-12.6024 6.29182e-10
-12.5724 6.69095e-10
-12.5425 7.12835e-10
-12.5125 7.60296e-10
-12.4825 8.11315e-10
-12.4525 8.65702e-10
-12.4226 9.2328e-10
-12.3926 9.8392e-10
-12.3626 1.04757e-09
-12.3327 1.1143e-09
-12.3027 1.18432e-09
-12.2727 1.25797e-09
-12.2428 1.33578e-09
-12.2128 1.41843e-09
-12.1828 1.50675e-09
-12.1528 1.6017e-09
-12.1229 1.70436e-09
-12.0929 1.81587e-09
-12.0629 1.93745e-09
-12.033 2.07031e-09
-12.003 2.21568e-09
-11.973 2.37477e-09
-11.9431 2.54874e-09
-11.9131 2.73876e-09
-11.8831 2.94596e-09
-11.8531 3.17147e-09
-11.8232 3.41646e-09
-11.7932 3.68219e-09
-11.7632 3.97002e-09
-11.7333 4.28149e-09
-11.7033 4.61835e-09
-11.6733 4.98262e-09
-11.6434 5.37663e-09
-11.6134 5.80308e-09
-11.5834 6.26502e-09
-11.5534 6.76593e-09
-11.5235 7.30969e-09
-11.4935 7.90061e-09
-11.4635 8.54344e-09
-11.4336 9.24332e-09
-11.4036 1.00058e-08
-11.3736 1.0837e-08
-11.3437 1.17431e-08
-11.3137 1.2731e-08
-11.2837 1.3808e-08
-11.2537 1.49817e-08
-11.2238 1.62603e-08
-11.1938 1.76526e-08
-11.1638 1.9168e-08
-11.1339 2.08166e-08
-11.1039 2.26093e-08
-11.0739 2.45578e-08
-11.044 2.66751e-08
-11.014 2.89751e-08
-10.984 3.14731e-08
-10.954 3.41857e-08
-10.9241 3.7131e-08
-10.8941 4.03288e-08
-10.8641 4.38005e-08
-10.8342 4.75695e-08
-10.8042 5.16608e-08
-10.7742 5.61018e-08
-10.7443 6.09218e-08
-10.7143 6.61523e-08
-10.6843 7.18272e-08
-10.6543 7.7983e-08
-10.6244 8.46585e-08
-10.5944 9.18956e-08
-10.5644 9.97387e-08
-10.5345 1.08236e-07
-10.5045 1.17438e-07
-10.4745 1.27401e-07
-10.4446 1.38182e-07
-10.4146 1.49844e-07
-10.3846 1.62456e-07
-10.3546 1.7609e-07
-10.3247 1.90823e-07
-10.2947 2.06738e-07
-10.2647 2.23926e-07
-10.2348 2.42481e-07
-10.2048 2.62507e-07
-10.1748 2.84113e-07
-10.1449 3.07418e-07
-10.1149 3.32546e-07
-10.0849 3.59633e-07
-10.0549 3.88823e-07
-10.025 4.20267e-07
-9.995 4.5413e-07
-9.96503 4.90585e-07
-9.93506 5.29817e-07
-9.90509 5.72024e-07
-9.87512 6.17415e-07
-9.84515 6.66214e-07
-9.81518 7.18656e-07
-9.78521 7.74995e-07
-9.75524 8.35497e-07
-9.72527 9.00448e-07
-9.6953 9.70149e-07
-9.66533 1.04492e-06
-9.63536 1.12511e-06
-9.60539 1.21107e-06
-9.57542 1.30319e-06
-9.54545 1.40187e-06
-9.51548 1.50756e-06
-9.48551 1.62071e-06
-9.45554 1.7418e-06
-9.42557 1.87135e-06
-9.3956 2.00991e-06
-9.36563 2.15806e-06
-9.33566 2.3164e-06
-9.30569 2.48559e-06
-9.27572 2.66631e-06
-9.24575 2.85928e-06
-9.21578 3.06527e-06
-9.18581 3.28509e-06
-9.15584 3.51958e-06
-9.12587 3.76966e-06
-9.0959 4.03626e-06
-9.06593 4.32041e-06
-9.03596 4.62314e-06
-9.00599 4.94559e-06
-8.97602 5.28892e-06
-8.94605 5.65439e-06
-8.91608 6.04331e-06
-8.88611 6.45705e-06
-8.85614 6.89708e-06
-8.82617 7.36493e-06
-8.7962 7.86222e-06
-8.76623 8.39065e-06
-8.73626 8.95203e-06
-8.70629 9.54824e-06
-8.67632 1.01813e-05
-8.64635 1.08532e-05
-8.61638 1.15663e-05
-8.58641 1.23229e-05
-8.55644 1.31253e-05
-8.52647 1.39762e-05
-8.4965 1.48783e-05
-8.46653 1.58344e-05
-8.43656 1.68475e-05
-8.40659 1.79207e-05
-8.37662 1.90574e-05
-8.34665 2.02611e-05
-8.31668 2.15354e-05
-8.28671 2.28841e-05
-8.25674 2.43113e-05
-8.22677 2.58212e-05
-8.1968 2.74184e-05
-8.16683 2.91074e-05
-8.13686 3.08934e-05
-8.10689 3.27813e-05
-8.07692 3.47768e-05
-8.04695 3.68854e-05
-8.01698 3.91134e-05
-7.98701 4.1467e-05
-7.95704 4.39528e-05
-7.92707 4.65779e-05
-7.8971 4.93496e-05
-7.86713 5.22757e-05
-7.83716 5.53643e-05
-7.80719 5.8624e-05
-7.77722 6.20637e-05
-7.74725 6.56928e-05
-7.71728 6.95214e-05
-7.68731 7.35598e-05
-7.65734 7.78191e-05
-7.62737 8.23107e-05
-7.5974 8.70467e-05
-7.56743 9.204e-05
-7.53746 9.73038e-05
-7.50749 0.000102852
-7.47752 0.0001087
-7.44755 0.000114864
-7.41758 0.000121358
-7.38761 0.000128201
-7.35764 0.000135411
-7.32767 0.000143007
-7.2977 0.000151008
-7.26773 0.000159437
-7.23776 0.000168314
-7.20779 0.000177663
-7.17782 0.000187509
-7.14785 0.000197877
-7.11788 0.000208794
-7.08791 0.000220288
-7.05794 0.000232391
-7.02797 0.000245131
-6.998 0.000258544
-6.96803 0.000272663
-6.93806 0.000287524
-6.90809 0.000303166
-6.87812 0.000319629
-6.84815 0.000336956
-6.81818 0.000355189
-6.78821 0.000374377
-6.75824 0.000394567
-6.72827 0.000415812
-6.6983 0.000438165
-6.66833 0.000461682
-6.63836 0.000486422
-6.60839 0.00051245
-6.57842 0.000539828
-6.54845 0.000568627
-6.51848 0.000598917
-6.48851 0.000630775
-6.45854 0.000664279
-6.42857 0.000699512
-6.3986 0.000736562
-6.36863 0.000775519
-6.33866 0.000816478
-6.30869 0.00085954
-6.27872 0.000904809
-6.24875 0.000952395
-6.21878 0.00100241
-6.18881 0.00105498
-6.15884 0.00111022
-6.12887 0.00116828
-6.0989 0.00122928
-6.06893 0.00129336
-6.03896 0.00136069
-6.00899 0.00143141
-5.97902 0.00150569
-5.94905 0.0015837
-5.91908 0.00166562
-5.88911 0.00175163
-5.85914 0.00184193
-5.82917 0.00193672
-5.7992 0.00203621
-5.76923 0.00214063
-5.73926 0.0022502
-5.70929 0.00236516
-5.67932 0.00248576
-5.64935 0.00261225
-5.61938 0.00274492
-5.58941 0.00288403
-5.55944 0.00302988
-5.52947 0.00318277
-5.4995 0.00334302
-5.46953 0.00351096
-5.43956 0.00368691
-5.40959 0.00387124
-5.37962 0.00406432
-5.34965 0.00426651
-5.31968 0.00447821
-5.28971 0.00469984
-5.25974 0.0049318
-5.22977 0.00517455
-5.1998 0.00542853
-5.16983 0.00569421
-5.13986 0.00597207
-5.10989 0.00626262
-5.07992 0.00656636
-5.04995 0.00688385
-5.01998 0.00721562
-4.99001 0.00756225
-4.96004 0.00792432
-4.93007 0.00830245
-4.9001 0.00869725
-4.87013 0.00910937
-4.84016 0.00953947
-4.81019 0.00998824
-4.78022 0.0104564
-4.75025 0.0109446
-4.72028 0.0114537
-4.69031 0.0119843
-4.66034 0.0125373
-4.63037 0.0131135
-4.6004 0.0137138
-4.57043 0.0143388
-4.54046 0.0149896
-4.51049 0.015667
-4.48052 0.0163719
-4.45055 0.0171053
-4.42058 0.0178681
-4.39061 0.0186612
-4.36064 0.0194857
-4.33067 0.0203426
-4.3007 0.0212329
-4.27073 0.0221577
-4.24076 0.0231181
-4.21079 0.0241151
-4.18082 0.0251499
-4.15085 0.0262236
-4.12088 0.0273373
-4.09091 0.0284923
-4.06094 0.0296897
-4.03097 0.0309308
-4.001 0.0322167
-3.97103 0.0335487
-3.94106 0.0349281
-3.91109 0.0363561
-3.88112 0.0378341
-3.85115 0.0393633
-3.82118 0.040945
-3.79121 0.0425806
-3.76124 0.0442714
-3.73127 0.0460188
-3.7013 0.047824
-3.67133 0.0496885
-3.64136 0.0516135
-3.61139 0.0536005
-3.58142 0.0556509
-3.55145 0.0577659
-3.52148 0.059947
-3.49151 0.0621954
-3.46154 0.0645127
-3.43157 0.0669
-3.4016 0.0693588
-3.37163 0.0718903
-3.34166 0.0744959
-3.31169 0.0771769
-3.28172 0.0799344
-3.25175 0.0827699
-3.22178 0.0856845
-3.19181 0.0886794
-3.16184 0.0917558
-3.13187 0.0949148
-3.1019 0.0981575
-3.07193 0.101485
-3.04196 0.104898
-3.01199 0.108399
-2.98202 0.111987
-2.95205 0.115663
-2.92208 0.119429
-2.89211 0.123285
-2.86214 0.127232
-2.83217 0.131271
-2.8022 0.135402
-2.77223 0.139626
-2.74226 0.143943
-2.71229 0.148353
-2.68232 0.152857
-2.65235 0.157454
-2.62238 0.162146
-2.59241 0.166932
-2.56244 0.171812
-2.53247 0.176785
-2.5025 0.181852
-2.47253 0.187012
-2.44256 0.192264
-2.41259 0.197608
-2.38262 0.203044
-2.35265 0.208569
-2.32268 0.214183
-2.29271 0.219886
-2.26274 0.225675
-2.23277 0.23155
-2.2028 0.237508
-2.17283 0.243548
-2.14286 0.249669
-2.11289 0.255868
-2.08292 0.262142
-2.05295 0.268491
-2.02298 0.274911
-1.99301 0.2814
-1.96304 0.287954
-1.93307 0.294572
-1.9031 0.30125
-1.87313 0.307985
-1.84316 0.314773
-1.81319 0.32161
-1.78322 0.328494
-1.75325 0.33542
-1.72328 0.342385
-1.69331 0.349383
-1.66334 0.356411
-1.63337 0.363465
-1.6034 0.370539
-1.57343 0.377629
-1.54346 0.38473
-1.51349 0.391836
-1.48352 0.398944
-1.45355 0.406047
-1.42358 0.413139
-1.39361 0.420216
-1.36364 0.427272
-1.33367 0.434301
-1.3037 0.441297
-1.27373 0.448253
-1.24376 0.455165
-1.21379 0.462026
-1.18382 0.46883
-1.15385 0.47557
-1.12388 0.482241
-1.09391 0.488835
-1.06394 0.495347
-1.03397 0.50177
-1.004 0.508098
-0.974026 0.514325
-0.944056 0.520444
-0.914086 0.526448
-0.884116 0.532332
-0.854146 0.538089
-0.824176 0.543713
-0.794206 0.549199
-0.764236 0.554539
-0.734266 0.559728
-0.704296 0.56476
-0.674326 0.56963
-0.644356 0.574332
-0.614386 0.578861
-0.584416 0.583211
-0.554446 0.587377
-0.524476 0.591354
-0.494505 0.595138
-0.464535 0.598724
-0.434565 0.602108
-0.404595 0.605285
-0.374625 0.608252
-0.344655 0.611006
-0.314685 0.613542
-0.284715 0.615858
-0.254745 0.61795
-0.224775 0.619817
-0.194805 0.621455
-0.164835 0.622863
-0.134865 0.62404
-0.104895 0.624982
-0.0749251 0.62569
-0.044955 0.626163
-0.014985 0.626399
0.014985 0.626399
0.044955 0.626163
0.0749251 0.62569
0.104895 0.624982
0.134865 0.62404
0.164835 0.622863
0.194805 0.621455
0.224775 0.619817
0.254745 0.61795
0.284715 0.615858
0.314685 0.613542
0.344655 0.611006
0.374625 0.608252
0.404595 0.605285
0.434565 0.602108
0.464535 0.598724
0.494505 0.595138
0.524476 0.591354
0.554446 0.587377
0.584416 0.583211
0.614386 0.578861
0.644356 0.574332
0.674326 0.56963
0.704296 0.56476
0.734266 0.559728
0.764236 0.554539
0.794206 0.549199
0.824176 0.543713
0.854146 0.538089
0.884116 0.532332
0.914086 0.526448
0.944056 0.520444
0.974026 0.514325
1.004 0.508098
1.03397 0.50177
1.06394 0.495347
1.09391 0.488835
1.12388 0.482241
1.15385 0.47557
1.18382 0.46883
1.21379 0.462026
1.24376 0.455165
1.27373 0.448253
1.3037 0.441297
1.33367 0.434301
1.36364 0.427272
1.39361 0.420216
1.42358 0.413139
1.45355 0.406047
1.48352 0.398944
1.51349 0.391836
1.54346 0.38473
1.57343 0.377629
1.6034 0.370539
1.63337 0.363465
1.66334 0.356411
1.69331 0.349383
1.72328 0.342385
1.75325 0.33542
1.78322 0.328494
1.81319 0.32161
1.84316 0.314773
1.87313 0.307985
1.9031 0.30125
1.93307 0.294572
1.96304 0.287954
1.99301 0.2814
2.02298 0.274911
2.05295 0.268491
2.08292 0.262142
2.11289 0.255868
2.14286 0.249669
2.17283 0.243548
2.2028 0.237508
2.23277 0.23155
2.26274 0.225675
2.29271 0.219886
2.32268 0.214183
2.35265 0.208569
2.38262 0.203044
2.41259 0.197608
2.44256 0.192264
2.47253 0.187012
2.5025 0.181852
2.53247 0.176785
2.56244 0.171812
2.59241 0.166932
2.62238 0.162146
2.65235 0.157454
2.68232 0.152857
2.71229 0.148353
2.74226 0.143943
2.77223 0.139626
2.8022 0.135402
2.83217 0.131271
2.86214 0.127232
2.89211 0.123285
2.92208 0.119429
2.95205 0.115663
2.98202 0.111987
3.01199 0.108399
3.04196 0.104898
3.07193 0.101485
3.1019 0.0981575
3.13187 0.0949148
3.16184 0.0917558
3.19181 0.0886794
3.22178 0.0856845
3.25175 0.0827699
3.28172 0.0799344
3.31169 0.0771769
3.34166 0.0744959
3.37163 0.0718903
3.4016 0.0693588
3.43157 0.0669
3.46154 0.0645127
3.49151 0.0621954
3.52148 0.059947
3.55145 0.0577659
3.58142 0.0556509
3.61139 0.0536005
3.64136 0.0516135
3.67133 0.0496885
3.7013 0.047824
3.73127 0.0460188
3.76124 0.0442714
3.79121 0.0425806
3.82118 0.040945
3.85115 0.0393633
3.88112 0.0378341
3.91109 0.0363561
3.94106 0.0349281
3.97103 0.0335487
4.001 0.0322167
4.03097 0.0309308
4.06094 0.0296897
4.09091 0.0284923
4.12088 0.0273373
4.15085 0.0262236
4.18082 0.0251499
4.21079 0.0241151
4.24076 0.0231181
4.27073 0.0221577
4.3007 0.0212329
4.33067 0.0203426
4.36064 0.0194857
4.39061 0.0186612
4.42058 0.0178681
4.45055 0.0171053
4.48052 0.0163719
4.51049 0.015667
4.54046 0.0149896
4.57043 0.0143388
4.6004 0.0137138
4.63037 0.0131135
4.66034 0.0125373
4.69031 0.0119843
4.72028 0.0114537
4.75025 0.0109446
4.78022 0.0104564
4.81019 0.00998824
4.84016 0.00953947
4.87013 0.00910937
4.9001 0.00869725
4.93007 0.00830245
4.96004 0.00792432
4.99001 0.00756225
5.01998 0.00721562
5.04995 0.00688385
5.07992 0.00656636
5.10989 0.00626262
5.13986 0.00597207
5.16983 0.00569421
5.1998 0.00542853
5.22977 0.00517455
5.25974 0.0049318
5.28971 0.00469984
5.31968 0.00447821
5.34965 0.00426651
5.37962 0.00406432
5.40959 0.00387124
5.43956 0.00368691
5.46953 0.00351096
5.4995 0.00334302
5.52947 0.00318277
5.55944 0.00302988
5.58941 0.00288403
5.61938 0.00274492
5.64935 0.00261225
5.67932 0.00248576
5.70929 0.00236516
5.73926 0.0022502
5.76923 0.00214063
5.7992 0.00203621
5.82917 0.00193672
5.85914 0.00184193
5.88911 0.00175163
5.91908 0.00166562
5.94905 0.0015837
5.97902 0.00150569
6.00899 0.00143141
6.03896 0.00136069
6.06893 0.00129336
6.0989 0.00122928
6.12887 0.00116828
6.15884 0.00111022
6.18881 0.00105498
6.21878 0.00100241
6.24875 0.000952395
6.27872 0.000904809
6.30869 0.00085954
6.33866 0.000816478
6.36863 0.000775519
6.3986 0.000736562
6.42857 0.000699512
6.45854 0.000664279
