X Z
-15 5.13659e-22
-14.97 4.76057e-22
-14.9401 3.75369e-22
-14.9101 2.44085e-22
-14.8801 1.25111e-22
-14.8501 5.87709e-23
-14.8202 7.05641e-23
-14.7902 1.63313e-22
-14.7602 3.16376e-22
-14.7303 4.92232e-22
-14.7003 6.48079e-22
-14.6703 7.4887e-22
-14.6404 7.78173e-22
-14.6104 7.43632e-22
-14.5804 6.74948e-22
-14.5504 6.14861e-22
-14.5205 6.06178e-22
-14.4905 6.7906e-22
-14.4605 8.42343e-22
-14.4306 1.08131e-21
-14.4006 1.36255e-21
-14.3706 1.64457e-21
-14.3407 1.89123e-21
-14.3107 2.08362e-21
-14.2807 2.22647e-21
-14.2507 2.34734e-21
-14.2208 2.48919e-21
-14.1908 2.69859e-21
-14.1608 3.01267e-21
-14.1309 3.44878e-21
-14.1009 4.00066e-21
-14.0709 4.64221e-21
-14.041 5.33744e-21
-14.011 6.05358e-21
-13.981 6.77357e-21
-13.951 7.50398e-21
-13.9211 8.27594e-21
-13.8911 9.13877e-21
-13.8611 1.01489e-20
-13.8312 1.13571e-20
-13.8012 1.27973e-20
-13.7712 1.44818e-20
-13.7413 1.64032e-20
-13.7113 1.8544e-20
-13.6813 2.08897e-20
-13.6513 2.3441e-20
-13.6214 2.62234e-20
-13.5914 2.92905e-20
-13.5614 3.27196e-20
-13.5315 3.66017e-20
-13.5015 4.10281e-20
-13.4715 4.60794e-20
-13.4416 5.18204e-20
-13.4116 5.83013e-20
-13.3816 6.5565e-20
-13.3516 7.36609e-20
-13.3217 8.26607e-20
-13.2917 9.26687e-20
-13.2617 1.03826e-19
-13.2318 1.16306e-19
-13.2018 1.30314e-19
-13.1718 1.46067e-19
-13.1419 1.63788e-19
-13.1119 1.837e-19
-13.0819 2.06028e-19
-13.0519 2.31011e-19
-13.022 2.58909e-19
-12.992 2.9002e-19
-12.962 3.24705e-19
-12.9321 3.63394e-19
-12.9021 4.06589e-19
-12.8721 4.54858e-19
-12.8422 5.0883e-19
-12.8122 5.69192e-19
-12.7822 6.36692e-19
-12.7522 7.12144e-19
-12.7223 7.96455e-19
-12.6923 8.90647e-19
-12.6623 9.95884e-19
-12.6324 1.11351e-18
-12.6024 1.24506e-18
-12.5724 1.39234e-18
-12.5425 1.55737e-18
-12.5125 1.74246e-18
-12.4825 1.95022e-18
-12.4525 2.1836e-18
-12.4226 2.44591e-18
-12.3926 2.74088e-18
-12.3626 3.07276e-18
-12.3327 3.44634e-18
-12.3027 3.86704e-18
-12.2727 4.34099e-18
-12.2428 4.8751e-18
-12.2128 5.47708e-18
-12.1828 6.15552e-18
-12.1528 6.9199e-18
-12.1229 7.78069e-18
-12.0929 8.74933e-18
-12.0629 9.83825e-18
-12.033 1.1061e-17
-12.003 1.24321e-17
-11.973 1.39671e-17
-11.9431 1.56828e-17
-11.9131 1.75968e-17
-11.8831 1.97274e-17
-11.8531 2.20939e-17
-11.8232 2.47159e-17
-11.7932 2.76138e-17
-11.7632 3.08078e-17
-11.7333 3.43185e-17
-11.7033 3.81666e-17
-11.6733 4.23724e-17
-11.6434 4.69566e-17
-11.6134 5.19397e-17
-11.5834 5.7343e-17
-11.5534 6.31889e-17
-11.5235 6.95015e-17
-11.4935 7.63086e-17
-11.4635 8.3643e-17
-11.4336 9.15454e-17
-11.4036 1.00068e-16
-11.3736 1.09277e-16
-11.3437 1.19263e-16
-11.3137 1.30141e-16
-11.2837 1.42066e-16
-11.2537 1.55237e-16
-11.2238 1.69916e-16
-11.1938 1.86437e-16
-11.1638 2.05228e-16
-11.1339 2.26829e-16
-11.1039 2.51918e-16
-11.0739 2.81334e-16
-11.044 3.16113e-16
-11.014 3.57518e-16
-10.984 4.07078e-16
-10.954 4.66632e-16
-10.9241 5.38367e-16
-10.8941 6.24871e-16
-10.8641 7.2918e-16
-10.8342 8.54828e-16
-10.8042 1.00589e-15
-10.7742 1.18706e-15
-10.7443 1.40363e-15
-10.7143 1.6616e-15
-10.6843 1.96766e-15
-10.6543 2.32923e-15
-10.6244 2.75443e-15
-10.5944 3.25206e-15
-10.5644 3.83158e-15
-10.5345 4.50297e-15
-10.5045 5.27666e-15
-10.4745 6.16331e-15
-10.4446 7.17359e-15
-10.4146 8.31791e-15
-10.3846 9.60607e-15
-10.3546 1.10468e-14
-10.3247 1.26472e-14
-10.2947 1.44123e-14
-10.2647 1.63442e-14
-10.2348 1.84414e-14
-10.2048 2.06979e-14
-10.1748 2.31025e-14
-10.1449 2.56374e-14
-10.1149 2.82778e-14
-10.0849 3.09904e-14
-10.0549 3.37329e-14
-10.025 3.64533e-14
-9.995 3.90891e-14
-9.96503 4.15675e-14
-9.93506 4.38057e-14
-9.90509 4.57118e-14
-9.87512 4.71871e-14
-9.84515 4.81287e-14
-9.81518 4.84348e-14
-9.78521 4.80104e-14
-9.75524 4.67766e-14
-9.72527 4.46815e-14
-9.6953 4.17156e-14
-9.66533 3.79304e-14
-9.63536 3.34622e-14
-9.60539 2.85618e-14
-9.57542 2.36302e-14
-9.54545 1.92635e-14
-9.51548 1.63053e-14
-9.48551 1.59116e-14
-9.45554 1.96261e-14
-9.42557 2.94707e-14
-9.3956 4.80513e-14
-9.36563 7.86823e-14
-9.33566 1.2553e-13
-9.30569 1.93782e-13
-9.27572 2.89835e-13
-9.24575 4.21523e-13
-9.21578 5.98365e-13
-9.18581 8.31852e-13
-9.15584 1.13578e-12
-9.12587 1.5266e-12
-9.0959 2.02386e-12
-9.06593 2.65064e-12
-9.03596 3.4341e-12
-9.00599 4.406e-12
-8.97602 5.60342e-12
-8.94605 7.0694e-12
-8.91608 8.85375e-12
-8.88611 1.10139e-11
-8.85614 1.36159e-11
-8.82617 1.67352e-11
-8.7962 2.04583e-11
-8.76623 2.48835e-11
-8.73626 3.01224e-11
-8.70629 3.63013e-11
-8.67632 4.35632e-11
-8.64635 5.20691e-11
-8.61638 6.2e-11
-8.58641 7.35594e-11
-8.55644 8.6975e-11
-8.52647 1.02502e-10
-8.4965 1.20425e-10
-8.46653 1.41062e-10
-8.43656 1.64769e-10
-8.40659 1.9194e-10
-8.37662 2.23017e-10
-8.34665 2.5849e-10
-8.31668 2.98908e-10
-8.28671 3.4488e-10
-8.25674 3.97088e-10
-8.22677 4.56294e-10
-8.1968 5.23351e-10
-8.16683 5.99214e-10
-8.13686 6.84956e-10
-8.10689 7.81788e-10
-8.07692 8.91073e-10
-8.04695 1.01436e-09
-8.01698 1.15339e-09
-7.98701 1.31016e-09
-7.95704 1.48696e-09
-7.92707 1.68637e-09
-7.8971 1.91138e-09
-7.86713 2.16542e-09
-7.83716 2.45244e-09
-7.80719 2.777e-09
-7.77722 3.14438e-09
-7.74725 3.56068e-09
-7.71728 4.033e-09
-7.68731 4.56958e-09
-7.65734 5.17998e-09
-7.62737 5.87533e-09
-7.5974 6.66858e-09
-7.56743 7.57479e-09
-7.53746 8.61151e-09
-7.50749 9.79912e-09
-7.47752 1.11613e-08
-7.44755 1.27258e-08
-7.41758 1.45244e-08
-7.38761 1.65944e-08
-7.35764 1.89789e-08
-7.32767 2.17278e-08
-7.2977 2.48991e-08
-7.26773 2.85594e-08
-7.23776 3.27861e-08
-7.20779 3.76681e-08
