alpha s value
1 1 -3.35035e-12
1 2 -4.08608e-12
1 3 -4.17286e-12
1 4 -4.17286e-12
1 5 -4.08608e-12
1 6 -3.35035e-12
1 7 1.91419e-26
2 1 -6.34368e-13
2 2 -6.14745e-13
2 3 -5.15811e-13
2 4 -5.15811e-13
2 5 -6.14745e-13
2 6 -6.34368e-13
2 7 -1.96199e-27
3 1 -2.53674e-13
3 2 -1.90216e-13
3 3 -1.2976e-13
3 4 -1.2976e-13
3 5 -1.90216e-13
3 6 -2.53674e-13
3 7 1.67678e-27
4 1 -1.30184e-13
4 2 -7.44723e-14
4 3 -4.11042e-14
4 4 -4.11042e-14
4 5 -7.44723e-14
4 6 -1.30184e-13
4 7 -5.99551e-27
5 1 -7.59597e-14
5 2 -3.28666e-14
5 3 -1.46384e-14
5 4 -1.46384e-14
5 5 -3.28666e-14
5 6 -7.59597e-14
5 7 -5.36617e-30
6 1 -4.79394e-14
6 2 -1.56005e-14
6 3 -5.59792e-15
6 4 -5.59792e-15
6 5 -1.56005e-14
6 6 -4.79394e-14
6 7 -1.00837e-27
7 1 -3.19001e-14
7 2 -7.77667e-15
7 3 -2.24582e-15
7 4 -2.24582e-15
7 5 -7.77667e-15
7 6 -3.19001e-14
7 7 1.16166e-27
8 1 -2.2051e-14
8 2 -4.01548e-15
8 3 -9.32595e-16
8 4 -9.32595e-16
8 5 -4.01548e-15
8 6 -2.2051e-14
8 7 7.31875e-28
9 1 -1.56863e-14
9 2 -2.12911e-15
9 3 -3.97466e-16
9 4 -3.97466e-16
9 5 -2.12911e-15
9 6 -1.56863e-14
9 7 1.79597e-27
