alpha s value
1 1 2.19133e-186
1 2 1.81935e-60
1 3 4.1768e-06
1 4 2.03667e-13
1 5 3.17328e-14
1 6 1.21656e-09
1 7 0.848648
2 1 1.59867e-187
2 2 6.09847e-61
2 3 1.32502e-06
2 4 5.11938e-14
2 5 7.72931e-15
2 6 3.48459e-10
2 7 0.33925
3 1 1.72729e-188
3 2 3.17996e-61
3 3 6.50567e-07
3 4 1.96328e-14
3 5 2.86861e-15
3 6 1.53319e-10
3 7 0.217866
4 1 2.04565e-189
4 2 1.8718e-61
4 3 3.59695e-07
4 4 8.42017e-15
4 5 1.18991e-15
4 6 7.56849e-11
4 7 0.161151
5 1 2.50887e-190
5 2 1.16629e-61
5 3 2.10232e-07
5 4 3.80241e-15
5 5 5.19525e-16
5 6 3.94109e-11
5 7 0.127951
6 1 3.12109e-191
6 2 7.50842e-62
6 3 1.26857e-07
6 4 1.76817e-15
6 5 2.33523e-16
6 6 2.11576e-11
6 7 0.106058
7 1 3.89973e-192
7 2 4.93612e-62
7 3 7.81294e-08
7 4 8.37698e-16
7 5 1.06926e-16
7 6 1.15818e-11
7 7 0.0904972
8 1 4.86739e-193
8 2 3.29207e-62
8 3 4.88018e-08
8 4 4.01952e-16
8 5 4.95798e-17
8 6 6.4252e-12
8 7 0.0788469
9 1 6.04853e-194
9 2 2.21845e-62
9 3 3.0795e-08
9 4 1.9463e-16
9 5 2.31971e-17
9 6 3.59889e-12
9 7 0.0697847
