alpha s value
1 1 6.4386e-13
1 2 -2.92871e-12
1 3 -4.05146e-12
1 4 -4.1666e-12
1 5 -4.17712e-12
1 6 -4.11195e-12
1 7 -3.66693e-12
2 1 -2.39902e-14
2 2 -4.91593e-13
2 3 -6.43425e-13
2 4 -5.24589e-13
2 5 -5.09656e-13
2 6 -5.89771e-13
2 7 -7.33386e-13
3 1 1.79026e-15
3 2 -1.71318e-13
3 3 -2.11046e-13
3 4 -1.34517e-13
3 5 -1.26488e-13
3 6 -1.73427e-13
3 7 -3.14308e-13
4 1 -1.67091e-16
4 2 -7.58975e-14
4 3 -8.77682e-14
4 4 -4.34488e-14
4 5 -3.95198e-14
4 6 -6.4432e-14
4 7 -1.74616e-13
5 1 1.74715e-17
5 2 -3.80037e-14
5 3 -4.11917e-14
5 4 -1.57804e-14
5 5 -1.38801e-14
5 6 -2.69612e-14
5 7 -1.11119e-13
6 1 -1.95767e-18
6 2 -2.05013e-14
6 3 -2.08075e-14
6 4 -6.15503e-15
6 5 -5.23433e-15
6 6 -1.21278e-14
6 7 -7.69286e-14
7 1 2.29826e-19
7 2 -1.1628e-14
7 3 -1.10436e-14
7 4 -2.51876e-15
7 5 -2.07074e-15
7 6 -5.72731e-15
7 7 -5.64143e-14
8 1 -2.79026e-20
8 2 -6.83695e-15
8 3 -6.07342e-15
8 4 -1.06693e-15
8 5 -8.47907e-16
8 6 -2.80096e-15
8 7 -4.31404e-14
9 1 3.47461e-21
9 2 -4.1304e-15
9 3 -3.43068e-15
9 4 -4.63861e-16
9 5 -3.56326e-16
9 6 -1.40639e-15
9 7 -3.40582e-14
