T Value
2.84289 -5.32907e-14
2.85536 -4.9738e-14
2.86783 -4.88498e-14
2.8803 -4.52971e-14
2.89277 -4.79616e-14
2.90524 -4.44089e-14
2.91771 -4.70735e-14
2.93017 -4.9738e-14
2.94264 -4.35207e-14
2.95511 -4.26326e-14
2.96758 -4.70735e-14
2.98005 -5.15143e-14
2.99252 -4.17444e-14
3.00499 -4.61853e-14
3.01746 -5.15143e-14
3.02993 -4.52971e-14
3.04239 -4.26326e-14
3.05486 -4.79616e-14
3.06733 -5.24025e-14
3.0798 -5.59552e-14
3.09227 -5.50671e-14
3.10474 -5.59552e-14
3.11721 -5.68434e-14
3.12968 -6.30607e-14
3.14214 -5.59552e-14
3.15461 -5.32907e-14
3.16708 -5.86198e-14
3.17955 -5.06262e-14
3.19202 -4.88498e-14
3.20449 -5.15143e-14
3.21696 -5.41789e-14
3.22943 -4.17444e-14
3.2419 -4.26326e-14
3.25436 -4.61853e-14
3.26683 -4.52971e-14
3.2793 -3.90799e-14
3.29177 -3.81917e-14
3.30424 -4.26326e-14
3.31671 -4.61853e-14
3.32918 -4.08562e-14
3.34165 -4.26326e-14
3.35411 -4.61853e-14
3.36658 -4.08562e-14
3.37905 -4.88498e-14
3.39152 -4.17444e-14
3.40399 -4.52971e-14
3.41646 -3.9968e-14
3.42893 -5.06262e-14
3.4414 -4.52971e-14
3.45387 -4.44089e-14
3.46633 -5.15143e-14
3.4788 -4.9738e-14
3.49127 -4.35207e-14
3.50374 -4.52971e-14
3.51621 -4.70735e-14
3.52868 -3.81917e-14
3.54115 -4.44089e-14
3.55362 -4.08562e-14
3.56608 -3.81917e-14
3.57855 -3.73035e-14
3.59102 -4.08562e-14
3.60349 -4.35207e-14
3.61596 -3.9968e-14
3.62843 -3.4639e-14
3.6409 -3.28626e-14
3.65337 -3.19744e-14
3.66584 -2.75335e-14
3.6783 -2.93099e-14
3.69077 -3.19744e-14
3.70324 -3.28626e-14
3.71571 -2.93099e-14
3.72818 -2.30926e-14
3.74065 -2.30926e-14
3.75312 -2.57572e-14
3.76559 -2.75335e-14
3.77805 -2.75335e-14
3.79052 -3.19744e-14
3.80299 -2.75335e-14
3.81546 -2.57572e-14
3.82793 -3.01981e-14
3.8404 -2.93099e-14
3.85287 -3.19744e-14
3.86534 -3.10862e-14
3.87781 -2.57572e-14
3.89027 -2.75335e-14
3.90274 -2.66454e-14
3.91521 -3.28626e-14
3.92768 -2.66454e-14
3.94015 -2.93099e-14
3.95262 -2.93099e-14
3.96509 -2.30926e-14
3.97756 -2.39808e-14
3.99002 -2.75335e-14
4.00249 -2.57572e-14
4.01496 -2.75335e-14
4.02743 -3.55271e-14
4.0399 -2.57572e-14
4.05237 -2.57572e-14
4.06484 -3.37508e-14
4.07731 -3.37508e-14
4.08978 -2.84217e-14
4.10224 -3.10862e-14
4.11471 -3.10862e-14
4.12718 -2.30926e-14
4.13965 -3.01981e-14
4.15212 -2.66454e-14
4.16459 -2.93099e-14
4.17706 -2.04281e-14
4.18953 -3.64153e-14
4.202 -2.4869e-14
4.21446 -2.39808e-14
4.22693 -2.22045e-14
4.2394 -2.22045e-14
4.25187 -2.4869e-14
4.26434 -2.30926e-14
4.27681 -3.01981e-14
4.28928 -2.4869e-14
4.30175 -2.22045e-14
4.31421 -2.75335e-14
4.32668 -2.22045e-14
4.33915 -1.95399e-14
4.35162 -2.22045e-14
4.36409 -2.04281e-14
4.37656 -2.22045e-14
4.38903 -3.19744e-14
4.4015 -2.30926e-14
4.41397 -2.30926e-14
4.42643 -2.93099e-14
4.4389 -2.30926e-14
4.45137 -3.01981e-14
4.46384 -2.93099e-14
4.47631 -3.4639e-14
4.48878 -2.93099e-14
4.50125 -2.39808e-14
4.51372 -3.19744e-14
4.52618 -3.73035e-14
4.53865 -3.37508e-14
4.55112 -2.30926e-14
4.56359 -2.75335e-14
4.57606 -3.28626e-14
4.58853 -3.28626e-14
4.601 -2.93099e-14
4.61347 -3.37508e-14
4.62594 -3.55271e-14
4.6384 -3.4639e-14
4.65087 -3.73035e-14
4.66334 -2.75335e-14
4.67581 -3.73035e-14
4.68828 -3.28626e-14
4.70075 -2.93099e-14
4.71322 -3.10862e-14
4.72569 -3.01981e-14
4.73815 -3.10862e-14
4.75062 -3.19744e-14
4.76309 -3.64153e-14
4.77556 -2.75335e-14
4.78803 -3.10862e-14
4.8005 -2.57572e-14
4.81297 -3.10862e-14
4.82544 -2.93099e-14
4.83791 -3.19744e-14
4.85037 -3.73035e-14
4.86284 -2.84217e-14
4.87531 -3.28626e-14
4.88778 -3.10862e-14
4.90025 -3.01981e-14
4.91272 -3.28626e-14
4.92519 -3.37508e-14
4.93766 -3.10862e-14
4.95012 -3.73035e-14
4.96259 -3.10862e-14
4.97506 -4.61853e-14
4.98753 -3.01981e-14
