X Z
-3.14159 0.00120979
-3.13323 0.00121112
-3.12486 0.00121099
-3.11649 0.00121404
-3.10813 0.00121469
-3.09976 0.00121971
-3.09139 0.00122118
-3.08303 0.00122776
-3.07466 0.001231
-3.06629 0.0012378
-3.05793 0.00124431
-3.04956 0.00125029
-3.0412 0.00126013
-3.03283 0.00126679
-3.02446 0.00127721
-3.0161 0.00128768
-3.00773 0.00129692
-2.99936 0.00131046
-2.991 0.00132195
-2.98263 0.00133448
-2.97426 0.00135033
-2.9659 0.00136374
-2.95753 0.00137934
-2.94916 0.00139754
-2.9408 0.00141345
-2.93243 0.00143183
-2.92407 0.00145273
-2.9157 0.00147151
-2.90733 0.00149248
-2.89897 0.0015164
-2.8906 0.00153851
-2.88223 0.00156195
-2.87387 0.00158902
-2.8655 0.00161503
-2.85713 0.00164109
-2.84877 0.0016711
-2.8404 0.00170158
-2.83203 0.00173087
-2.82367 0.0017634
-2.8153 0.00179846
-2.80694 0.00183215
-2.79857 0.00186712
-2.7902 0.00190606
-2.78184 0.00194527
-2.77347 0.00198367
-2.7651 0.00202538
-2.75674 0.00207009
-2.74837 0.0021139
-2.74 0.00215836
-2.73164 0.00220696
-2.72327 0.00225732
-2.7149 0.00230665
-2.70654 0.00235791
-2.69817 0.00241339
-2.68981 0.00246982
-2.68144 0.00252547
-2.67307 0.00258386
-2.66471 0.00264638
-2.65634 0.00270946
-2.64797 0.00277201
-2.63961 0.00283769
-2.63124 0.00290749
-2.62287 0.0029778
-2.61451 0.00304766
-2.60614 0.00312067
-2.59778 0.00319796
-2.58941 0.003276
-2.58104 0.00335348
-2.57268 0.00343378
-2.56431 0.00351859
-2.55594 0.00360472
-2.54758 0.00369009
-2.53921 0.00377755
-2.53084 0.00386966
-2.52248 0.00396399
-2.51411 0.00405751
-2.50574 0.00415203
-2.49738 0.00425092
-2.48901 0.00435314
-2.48065 0.00445502
-2.47228 0.00455664
-2.46391 0.00466162
-2.45555 0.00477088
-2.44718 0.00488101
-2.43881 0.00498999
-2.43045 0.00510054
-2.42208 0.00521551
-2.41371 0.00533309
-2.40535 0.00544973
-2.39698 0.00556588
-2.38861 0.00568519
-2.38025 0.00580855
-2.37188 0.00593258
-2.36352 0.00605496
-2.35515 0.00617801
-2.34678 0.00630499
-2.33842 0.00643492
-2.33005 0.00656405
-2.32168 0.00669157
-2.31332 0.0068208
-2.30495 0.00695406
-2.29658 0.00708911
-2.28822 0.00722247
-2.27985 0.00735459
-2.27148 0.00748913
-2.26312 0.00762754
-2.25475 0.00776688
-2.24639 0.00790413
-2.23802 0.00804055
-2.22965 0.00817988
-2.22129 0.00832297
-2.21292 0.00846659
-2.20455 0.00860807
-2.19619 0.00874909
-2.18782 0.00889341
-2.17945 0.00904164
-2.17109 0.00919051
-2.16272 0.00933746
-2.15435 0.00948427
-2.14599 0.00963474
-2.13762 0.00978963
-2.12926 0.00994578
-2.12089 0.0101005
-2.11252 0.0102553
-2.10416 0.0104141
-2.09579 0.0105782
-2.08742 0.0107446
-2.07906 0.0109104
-2.07069 0.0110765
-2.06232 0.0112467
-2.05396 0.011423
-2.04559 0.0116033
-2.03722 0.011784
-2.02886 0.0119652
-2.02049 0.0121503
-2.01213 0.0123423
-2.00376 0.0125398
-1.99539 0.0127393
-1.98703 0.0129394
-1.97866 0.0131428
-1.97029 0.0133531
-1.96193 0.0135705
-1.95356 0.0137915
-1.94519 0.0140135
-1.93683 0.0142376
-1.92846 0.0144677
-1.92009 0.0147056
-1.91173 0.014949
-1.90336 0.0151939
-1.895 0.0154397
-1.88663 0.0156895
-1.87826 0.0159465
-1.8699 0.0162101
-1.86153 0.0164766
-1.85316 0.016743
-1.8448 0.0170107
-1.83643 0.0172833
-1.82806 0.0175625
-1.8197 0.0178461
-1.81133 0.01813
-1.80296 0.0184127
-1.7946 0.0186967
-1.78623 0.0189857
-1.77787 0.0192799
-1.7695 0.0195759
-1.76113 0.0198701
-1.75277 0.0201624
-1.7444 0.0204561
-1.73603 0.0207545
-1.72767 0.0210567
-1.7193 0.0213588
-1.71093 0.0216579
-1.70257 0.0219552
-1.6942 0.0222544
-1.68583 0.0225583
-1.67747 0.0228655
-1.6691 0.023172
-1.66074 0.0234756
-1.65237 0.0237782
-1.644 0.0240841
-1.63564 0.0243956
-1.62727 0.024711
-1.6189 0.0250265
-1.61054 0.0253403
-1.60217 0.0256548
-1.5938 0.0259744
-1.58544 0.0263012
-1.57707 0.0266335
-1.5687 0.0269675
