X Z
-3.14159 0.00064727
-3.12905 0.000673228
-3.11651 0.000700117
-3.10397 0.000727966
-3.09143 0.000756803
-3.07889 0.000786659
-3.06634 0.000817564
-3.0538 0.00084955
-3.04126 0.000882648
-3.02872 0.000916892
-3.01618 0.000952314
-3.00364 0.000988949
-2.9911 0.00102683
-2.97856 0.001066
-2.96601 0.00110648
-2.95347 0.00114833
-2.94093 0.00119157
-2.92839 0.00123624
-2.91585 0.00128238
-2.90331 0.00133004
-2.89077 0.00137925
-2.87823 0.00143006
-2.86568 0.00148251
-2.85314 0.00153664
-2.8406 0.00159249
-2.82806 0.00165012
-2.81552 0.00170956
-2.80298 0.00177086
-2.79044 0.00183408
-2.7779 0.00189925
-2.76535 0.00196643
-2.75281 0.00203566
-2.74027 0.002107
-2.72773 0.0021805
-2.71519 0.00225621
-2.70265 0.00233417
-2.69011 0.00241446
-2.67756 0.00249711
-2.66502 0.00258218
-2.65248 0.00266973
-2.63994 0.00275982
-2.6274 0.0028525
-2.61486 0.00294782
-2.60232 0.00304586
-2.58978 0.00314665
-2.57723 0.00325028
-2.56469 0.00335678
-2.55215 0.00346624
-2.53961 0.00357869
-2.52707 0.00369422
-2.51453 0.00381288
-2.50199 0.00393472
-2.48945 0.00405982
-2.4769 0.00418825
-2.46436 0.00432005
-2.45182 0.0044553
-2.43928 0.00459406
-2.42674 0.0047364
-2.4142 0.00488238
-2.40166 0.00503207
-2.38912 0.00518554
-2.37657 0.00534284
-2.36403 0.00550405
-2.35149 0.00566923
-2.33895 0.00583845
-2.32641 0.00601178
-2.31387 0.00618927
-2.30133 0.00637101
-2.28879 0.00655705
-2.27624 0.00674746
-2.2637 0.00694231
-2.25116 0.00714167
-2.23862 0.00734559
-2.22608 0.00755415
-2.21354 0.0077674
-2.201 0.00798542
-2.18845 0.00820827
-2.17591 0.00843601
-2.16337 0.00866871
-2.15083 0.00890642
-2.13829 0.00914922
-2.12575 0.00939715
-2.11321 0.00965029
-2.10067 0.00990868
-2.08812 0.0101724
-2.07558 0.0104415
-2.06304 0.010716
-2.0505 0.010996
-2.03796 0.0112816
-2.02542 0.0115727
-2.01288 0.0118695
-2.00034 0.012172
-1.98779 0.0124802
-1.97525 0.0127943
-1.96271 0.0131141
-1.95017 0.0134399
-1.93763 0.0137716
-1.92509 0.0141092
-1.91255 0.0144529
-1.90001 0.0148026
-1.88746 0.0151583
-1.87492 0.0155202
-1.86238 0.0158882
-1.84984 0.0162624
-1.8373 0.0166428
-1.82476 0.0170294
-1.81222 0.0174222
-1.79967 0.0178213
-1.78713 0.0182267
-1.77459 0.0186383
-1.76205 0.0190563
-1.74951 0.0194806
-1.73697 0.0199112
-1.72443 0.0203481
-1.71189 0.0207913
-1.69934 0.0212408
-1.6868 0.0216966
-1.67426 0.0221588
-1.66172 0.0226272
-1.64918 0.0231019
-1.63664 0.0235828
-1.6241 0.02407
-1.61156 0.0245633
-1.59901 0.0250628
-1.58647 0.0255685
-1.57393 0.0260803
-1.56139 0.0265981
-1.54885 0.0271219
-1.53631 0.0276517
-1.52377 0.0281875
-1.51123 0.0287291
-1.49868 0.0292764
-1.48614 0.0298296
-1.4736 0.0303883
-1.46106 0.0309527
-1.44852 0.0315227
-1.43598 0.032098
-1.42344 0.0326787
-1.41089 0.0332647
-1.39835 0.0338559
-1.38581 0.0344522
-1.37327 0.0350534
-1.36073 0.0356595
-1.34819 0.0362705
-1.33565 0.036886
-1.32311 0.0375062
-1.31056 0.0381307
-1.29802 0.0387596
-1.28548 0.0393926
-1.27294 0.0400297
-1.2604 0.0406706
-1.24786 0.0413154
-1.23532 0.0419637
-1.22278 0.0426156
-1.21023 0.0432707
-1.19769 0.043929
-1.18515 0.0445903
-1.17261 0.0452545
-1.16007 0.0459213
-1.14753 0.0465906
-1.13499 0.0472623
-1.12245 0.0479361
-1.1099 0.0486118
-1.09736 0.0492893
-1.08482 0.0499684
-1.07228 0.0506489
-1.05974 0.0513306
-1.0472 0.0520132
-1.03466 0.0526967
-1.02211 0.0533807
-1.00957 0.0540652
-0.997032 0.0547498
-0.984491 0.0554343
-0.97195 0.0561186
-0.959409 0.0568023
-0.946867 0.0574854
-0.934326 0.0581675
-0.921785 0.0588485
-0.909243 0.0595281
-0.896702 0.060206
-0.884161 0.0608821
-0.87162 0.0615561
-0.859078 0.0622278
-0.846537 0.0628969
-0.833996 0.0635632
-0.821454 0.0642265
-0.808913 0.0648865
-0.796372 0.065543
-0.783831 0.0661956
-0.771289 0.0668443
-0.758748 0.0674887
-0.746207 0.0681286
-0.733665 0.0687638
-0.721124 0.069394
-0.708583 0.0700189
-0.696041 0.0706383
-0.6835 0.071252
-0.670959 0.0718598
-0.658418 0.0724613
-0.645876 0.0730564
-0.633335 0.0736448
-0.620794 0.0742262
-0.608252 0.0748005
-0.595711 0.0753673
-0.58317 0.0759265
-0.570629 0.0764779
-0.558087 0.0770211
-0.545546 0.0775559
-0.533005 0.0780822
-0.520463 0.0785998
-0.507922 0.0791083
-0.495381 0.0796075
-0.48284 0.0800973
-0.470298 0.0805775
-0.457757 0.0810478
-0.445216 0.081508
-0.432674 0.0819579
-0.420133 0.0823974
-0.407592 0.0828262
-0.395051 0.0832441
-0.382509 0.083651
-0.369968 0.0840466
-0.357427 0.0844308
-0.344885 0.0848035
-0.332344 0.0851644
-0.319803 0.0855134
-0.307262 0.0858503
-0.29472 0.086175
-0.282179 0.0864873
-0.269638 0.0867871
-0.257096 0.0870742
-0.244555 0.0873485
-0.232014 0.0876099
-0.219473 0.0878583
-0.206931 0.0880936
-0.19439 0.0883155
-0.181849 0.0885241
-0.169307 0.0887193
-0.156766 0.0889009
-0.144225 0.0890688
-0.131684 0.089223
-0.119142 0.0893635
-0.106601 0.0894901
-0.0940597 0.0896028
-0.0815184 0.0897015
-0.0689771 0.0897862
-0.0564358 0.0898568
-0.0438945 0.0899133
-0.0313532 0.0899558
-0.0188119 0.0899841
-0.00627064 0.0899982
0.00627064 0.0899982
0.0188119 0.0899841
0.0313532 0.0899558
0.0438945 0.0899133
0.0564358 0.0898568
0.0689771 0.0897862
0.0815184 0.0897015
0.0940597 0.0896028
0.106601 0.0894901
0.119142 0.0893635
0.131684 0.089223
